Species,Replicate,Dose,Time_h,RawOD
KT2440,1,70,2.5,0.056307224
KT2440,1,50,2.5,0.067860828
KT2440,1,25,2.5,0.052456022
KT2440,1,20,2.5,0.05375918
KT2440,1,15,2.5,0.076158839
KT2440,1,10,2.5,0.125628853
KT2440,1,5,2.5,0.133331256
KT2440,1,2,2.5,0.129480054
KT2440,1,1,2.5,0.102521643
KT2440,1,0,2.5,0.075563232
KT2440,2,90,2.5,0.075563232
KT2440,2,70,2.5,0.044753619
KT2440,2,50,2.5,0.052456022
KT2440,2,25,2.5,0.040902417
KT2440,2,20,2.5,0.044799317
KT2440,2,15,2.5,0.071678907
KT2440,2,10,2.5,0.098670441
KT2440,2,5,2.5,0.102521643
KT2440,2,2,2.5,0.090968038
KT2440,2,1,2.5,0.079414433
KT2440,2,0,2.5,0.067860828
KT2440,3,90,2.5,0.090968038
KT2440,3,70,2.5,0.079414433
KT2440,3,50,2.5,0.056307224
KT2440,3,25,2.5,0.04860482
KT2440,3,20,2.5,0.05375918
KT2440,3,15,2.5,0.076158839
KT2440,3,10,2.5,0.110224046
KT2440,3,5,2.5,0.106372844
KT2440,3,2,2.5,0.098670441
KT2440,3,1,2.5,0.087116836
KT2440,3,0,2.5,0.060158425
KT2440,1,90,2.75,0.082734435
KT2440,1,70,2.75,0.055776023
KT2440,1,50,2.75,0.07118083
KT2440,1,25,2.75,0.051924822
KT2440,1,20,2.75,0.05375918
KT2440,1,15,2.75,0.085118702
KT2440,1,10,2.75,0.14435366
KT2440,1,5,2.75,0.136651257
KT2440,1,2,2.75,0.16746087
KT2440,1,1,2.75,0.125097652
KT2440,1,0,2.75,0.090436838
KT2440,2,90,2.75,0.075032031
KT2440,2,70,2.75,0.044222418
KT2440,2,50,2.75,0.051924822
KT2440,2,25,2.75,0.040371217
KT2440,2,20,2.75,0.044799317
KT2440,2,15,2.75,0.076158839
KT2440,2,10,2.75,0.113544047
KT2440,2,5,2.75,0.113544047
KT2440,2,2,2.75,0.105841644
KT2440,2,1,2.75,0.098139241
KT2440,2,0,2.75,0.075032031
KT2440,3,90,2.75,0.090436838
KT2440,3,70,2.75,0.086585636
KT2440,3,50,2.75,0.055776023
KT2440,3,25,2.75,0.04807362
KT2440,3,20,2.75,0.05375918
KT2440,3,15,2.75,0.085118702
KT2440,3,10,2.75,0.140502459
KT2440,3,5,2.75,0.128948854
KT2440,3,2,2.75,0.117395249
KT2440,3,1,2.75,0.117395249
KT2440,3,0,2.75,0.075032031
KT2440,1,90,3,0.082867235
KT2440,1,70,3,0.052057622
KT2440,1,50,3,0.067462428
KT2440,1,25,3,0.052057622
KT2440,1,20,3,0.05375918
KT2440,1,15,3,0.089598634
KT2440,1,10,3,0.163742468
KT2440,1,5,3,0.16759367
KT2440,1,2,3,0.202254485
KT2440,1,1,3,0.159891267
KT2440,1,0,3,0.105974444
KT2440,2,90,3,0.075164831
KT2440,2,70,3,0.04820642
KT2440,2,50,3,0.052057622
KT2440,2,25,3,0.044355219
KT2440,2,20,3,0.044799317
KT2440,2,15,3,0.085118702
KT2440,2,10,3,0.125230452
KT2440,2,5,3,0.121379251
KT2440,2,2,3,0.125230452
KT2440,2,1,3,0.121379251
KT2440,2,0,3,0.086718436
KT2440,3,90,3,0.090569638
KT2440,3,70,3,0.086718436
KT2440,3,50,3,0.059760025
KT2440,3,25,3,0.04820642
KT2440,3,20,3,0.05375918
KT2440,3,15,3,0.094078565
KT2440,3,10,3,0.16759367
KT2440,3,5,3,0.179147275
KT2440,3,2,3,0.159891267
KT2440,3,1,3,0.14448646
KT2440,3,0,3,0.090569638
KT2440,1,90,3.25,0.082734435
KT2440,1,70,3.25,0.051924822
KT2440,1,50,3.25,0.067329628
KT2440,1,25,3.25,0.051924822
KT2440,1,20,3.25,0.058239112
KT2440,1,15,3.25,0.098558497
KT2440,1,10,3.25,0.186716878
KT2440,1,5,3.25,0.209824088
KT2440,1,2,3.25,0.267592112
KT2440,1,1,3.25,0.198270483
KT2440,1,0,3.25,0.125097652
KT2440,2,90,3.25,0.075032031
KT2440,2,70,3.25,0.044222418
KT2440,2,50,3.25,0.051924822
KT2440,2,25,3.25,0.040371217
KT2440,2,20,3.25,0.049279249
KT2440,2,15,3.25,0.089598634
KT2440,2,10,3.25,0.136651257
KT2440,2,5,3.25,0.136651257
KT2440,2,2,3.25,0.194419281
KT2440,2,1,3.25,0.14435366
KT2440,2,0,3.25,0.098139241
KT2440,3,90,3.25,0.090436838
KT2440,3,70,3.25,0.086585636
KT2440,3,50,3.25,0.055776023
KT2440,3,25,3.25,0.04807362
KT2440,3,20,3.25,0.05375918
KT2440,3,15,3.25,0.103038429
KT2440,3,10,3.25,0.205972886
KT2440,3,5,3.25,0.28684812
KT2440,3,2,3.25,0.279145717
KT2440,3,1,3.25,0.186716878
KT2440,3,0,3.25,0.117395249
KT2440,1,90,3.5,0.082734435
KT2440,1,70,3.5,0.051924822
KT2440,1,50,3.5,0.067329628
KT2440,1,25,3.5,0.051924822
KT2440,1,20,3.5,0.05375918
KT2440,1,15,3.5,0.10751836
KT2440,1,10,3.5,0.225228894
KT2440,1,5,3.5,0.282996918
KT2440,1,2,3.5,0.40623537
KT2440,1,1,3.5,0.271443313
KT2440,1,0,3.5,0.159758467
KT2440,2,90,3.5,0.075032031
KT2440,2,70,3.5,0.044222418
KT2440,2,50,3.5,0.04807362
KT2440,2,25,3.5,0.040371217
KT2440,2,20,3.5,0.044799317
KT2440,2,15,3.5,0.098558497
KT2440,2,10,3.5,0.159758467
KT2440,2,5,3.5,0.171312072
KT2440,2,2,3.5,0.313806531
KT2440,2,1,3.5,0.186716878
KT2440,2,0,3.5,0.121246451
KT2440,3,90,3.5,0.090436838
KT2440,3,70,3.5,0.078883233
KT2440,3,50,3.5,0.055776023
KT2440,3,25,3.5,0.04807362
KT2440,3,20,3.5,0.05375918
KT2440,3,15,3.5,0.111998292
KT2440,3,10,3.5,0.259889709
KT2440,3,5,3.5,0.398532967
KT2440,3,2,3.5,0.402384168
KT2440,3,1,3.5,0.271443313
KT2440,3,0,3.5,0.152056064
KT2440,1,90,3.75,0.079148833
KT2440,1,70,3.75,0.052190422
KT2440,1,50,3.75,0.063744027
KT2440,1,25,3.75,0.052190422
KT2440,1,20,3.75,0.049279249
KT2440,1,15,3.75,0.120958155
KT2440,1,10,3.75,0.271708914
KT2440,1,5,3.75,0.387244962
KT2440,1,2,3.75,0.545144228
KT2440,1,1,3.75,0.398798567
KT2440,1,0,3.75,0.194684881
KT2440,2,90,3.75,0.075297631
KT2440,2,70,3.75,0.044488019
KT2440,2,50,3.75,0.04833922
KT2440,2,25,3.75,0.040636817
KT2440,2,20,3.75,0.044799317
KT2440,2,15,3.75,0.10751836
KT2440,2,10,3.75,0.198536083
KT2440,2,5,3.75,0.213940889
KT2440,2,2,3.75,0.421905776
KT2440,2,1,3.75,0.248601704
KT2440,2,0,3.75,0.14461926
KT2440,3,90,3.75,0.090702438
KT2440,3,70,3.75,0.063744027
KT2440,3,50,3.75,0.056041623
KT2440,3,25,3.75,0.04833922
KT2440,3,20,3.75,0.049279249
KT2440,3,15,3.75,0.125438087
KT2440,3,10,3.75,0.356435349
KT2440,3,5,3.75,0.491227405
KT2440,3,2,3.75,0.522037018
KT2440,3,1,3.75,0.42960818
KT2440,3,0,3.75,0.19083368
KT2440,1,90,4,0.082867235
KT2440,1,70,4,0.052057622
KT2440,1,50,4,0.063611227
KT2440,1,25,4,0.04820642
KT2440,1,20,4,0.05375918
KT2440,1,15,4,0.13439795
KT2440,1,10,4,0.364004952
KT2440,1,5,4,0.583523444
KT2440,1,2,4,0.679803484
KT2440,1,1,4,0.606630654
KT2440,1,0,4,0.256171307
KT2440,2,90,4,0.075164831
KT2440,2,70,4,0.044355219
KT2440,2,50,4,0.04820642
KT2440,2,25,4,0.040504017
KT2440,2,20,4,0.044799317
KT2440,2,15,4,0.120958155
KT2440,2,10,4,0.260022509
KT2440,2,5,4,0.298534525
KT2440,2,2,4,0.583523444
KT2440,2,1,4,0.42947538
KT2440,2,0,4,0.186849678
KT2440,3,90,4,0.090569638
KT2440,3,70,4,0.07131363
KT2440,3,50,4,0.055908823
KT2440,3,25,4,0.04820642
KT2440,3,20,4,0.049279249
KT2440,3,15,4,0.138877882
KT2440,3,10,4,0.518053017
KT2440,3,5,4,0.606630654
KT2440,3,2,4,0.641291468
KT2440,3,1,4,0.625886662
KT2440,3,0,4,0.275427315
KT2440,1,90,4.25,0.082867235
KT2440,1,70,4.25,0.052057622
KT2440,1,50,4.25,0.063611227
KT2440,1,25,4.25,0.04820642
KT2440,1,20,4.25,0.05375918
KT2440,1,15,4.25,0.152317677
KT2440,1,10,4.25,0.548862629
KT2440,1,5,4.25,0.737571508
KT2440,1,2,4.25,0.787637129
KT2440,1,1,4.25,0.752976315
KT2440,1,0,4.25,0.398665767
KT2440,2,90,4.25,0.075164831
KT2440,2,70,4.25,0.044355219
KT2440,2,50,4.25,0.04820642
KT2440,2,25,4.25,0.040504017
KT2440,2,20,4.25,0.044799317
KT2440,2,15,4.25,0.138877882
KT2440,2,10,4.25,0.352451347
KT2440,2,5,4.25,0.487243404
KT2440,2,2,4.25,0.714464299
KT2440,2,1,4.25,0.648993871
KT2440,2,0,4.25,0.252320105
KT2440,3,90,4.25,0.090569638
KT2440,3,70,4.25,0.094420839
KT2440,3,50,4.25,0.055908823
KT2440,3,25,4.25,0.04820642
KT2440,3,20,4.25,0.049279249
KT2440,3,15,4.25,0.161277541
KT2440,3,10,4.25,0.675952283
KT2440,3,5,4.25,0.733720307
KT2440,3,2,4.25,0.756827516
KT2440,3,1,4.25,0.783785928
KT2440,3,0,4.25,0.42947538
KT2440,1,90,4.5,0.083000035
KT2440,1,70,4.5,0.052190422
KT2440,1,50,4.5,0.063744027
KT2440,1,25,4.5,0.04833922
KT2440,1,20,4.5,0.049279249
KT2440,1,15,4.5,0.179197267
KT2440,1,10,4.5,0.803174736
KT2440,1,5,4.5,0.895603574
KT2440,1,2,4.5,0.895603574
KT2440,1,1,4.5,0.887901171
KT2440,1,0,4.5,0.660680276
KT2440,2,90,4.5,0.075297631
KT2440,2,70,4.5,0.044488019
KT2440,2,50,4.5,0.04833922
KT2440,2,25,4.5,0.036785615
KT2440,2,20,4.5,0.044799317
KT2440,2,15,4.5,0.161277541
KT2440,2,10,4.5,0.533590623
KT2440,2,5,4.5,0.76466272
KT2440,2,2,4.5,0.83783555
KT2440,2,1,4.5,0.826281945
KT2440,2,0,4.5,0.402649768
KT2440,3,90,4.5,0.090702438
KT2440,3,70,4.5,0.083000035
KT2440,3,50,4.5,0.052190422
KT2440,3,25,4.5,0.04833922
KT2440,3,20,4.5,0.049279249
KT2440,3,15,4.5,0.183677199
KT2440,3,10,4.5,0.826281945
KT2440,3,5,4.5,0.849389155
KT2440,3,2,4.5,0.841686752
KT2440,3,1,4.5,0.903305978
KT2440,3,0,4.5,0.699192292
KT2440,1,90,4.75,0.079016033
KT2440,1,70,4.75,0.052057622
KT2440,1,50,4.75,0.063611227
KT2440,1,25,4.75,0.04820642
KT2440,1,20,4.75,0.05375918
KT2440,1,15,4.75,0.201596926
KT2440,1,10,4.75,0.987899613
KT2440,1,5,4.75,0.995602016
KT2440,1,2,4.75,0.984048411
KT2440,1,1,4.75,0.995602016
KT2440,1,0,4.75,0.891619573
KT2440,2,90,4.75,0.075164831
KT2440,2,70,4.75,0.044355219
KT2440,2,50,4.75,0.04820642
KT2440,2,25,4.75,0.036652815
KT2440,2,20,4.75,0.044799317
KT2440,2,15,4.75,0.188157131
KT2440,2,10,4.75,0.768381121
KT2440,2,5,4.75,0.937833992
KT2440,2,2,4.75,0.937833992
KT2440,2,1,4.75,0.964792403
KT2440,2,0,4.75,0.76452992
KT2440,3,90,4.75,0.090569638
KT2440,3,70,4.75,0.079016033
KT2440,3,50,4.75,0.052057622
KT2440,3,25,4.75,0.04820642
KT2440,3,20,4.75,0.049279249
KT2440,3,15,4.75,0.215036721
KT2440,3,10,4.75,0.972494807
KT2440,3,5,4.75,0.945536395
KT2440,3,2,4.75,0.93398279
KT2440,3,1,4.75,1.014858024
KT2440,3,0,4.75,0.907024379
KT2440,1,90,5,0.079148833
KT2440,1,70,5,0.052190422
KT2440,1,50,5,0.063744027
KT2440,1,25,5,0.04833922
KT2440,1,20,5,0.049279249
KT2440,1,15,5,0.232956447
KT2440,1,10,5,1.072758848
KT2440,1,5,5,1.080461252
KT2440,1,2,5,1.07661005
KT2440,1,1,5,1.084312453
KT2440,1,0,5,1.030395631
KT2440,2,90,5,0.079148833
KT2440,2,70,5,0.040636817
KT2440,2,50,5,0.04833922
KT2440,2,25,5,0.036785615
KT2440,2,20,5,0.040319385
KT2440,2,15,5,0.219516652
KT2440,2,10,5,0.907157179
KT2440,2,5,5,1.022693228
KT2440,2,2,5,1.022693228
KT2440,2,1,5,1.084312453
KT2440,2,0,5,1.022693228
KT2440,3,90,5,0.090702438
KT2440,3,70,5,0.102256043
KT2440,3,50,5,0.052190422
KT2440,3,25,5,0.04833922
KT2440,3,20,5,0.049279249
KT2440,3,15,5,0.250876174
KT2440,3,10,5,1.103568461
KT2440,3,5,5,1.003437219
KT2440,3,2,5,1.022693228
KT2440,3,1,5,1.122824469
KT2440,3,0,5,1.084312453
KT2440,1,90,5.25,0.083000035
KT2440,1,70,5.25,0.052190422
KT2440,1,50,5.25,0.063744027
KT2440,1,25,5.25,0.04833922
KT2440,1,20,5.25,0.05375918
KT2440,1,15,5.25,0.273275833
KT2440,1,10,5.25,1.165187687
KT2440,1,5,5.25,1.145931679
KT2440,1,2,5.25,1.161336485
KT2440,1,1,5.25,1.180592494
KT2440,1,0,5.25,1.103568461
KT2440,2,90,5.25,0.075297631
KT2440,2,70,5.25,0.044488019
KT2440,2,50,5.25,0.04833922
KT2440,2,25,5.25,0.036785615
KT2440,2,20,5.25,0.040319385
KT2440,2,15,5.25,0.255356106
KT2440,2,10,5.25,1.049651639
KT2440,2,5,5.25,1.118973268
KT2440,2,2,5.25,1.161336485
KT2440,2,1,5.25,1.188294897
KT2440,2,0,5.25,1.138229276
KT2440,3,90,5.25,0.090702438
KT2440,3,70,5.25,0.090702438
KT2440,3,50,5.25,0.052190422
KT2440,3,25,5.25,0.04833922
KT2440,3,20,5.25,0.049279249
KT2440,3,15,5.25,0.291195559
KT2440,3,10,5.25,1.207550905
KT2440,3,5,5.25,1.09971726
KT2440,3,2,5.25,1.130526873
KT2440,3,1,5.25,1.226806913
KT2440,3,0,5.25,1.192146098
KT2440,1,90,5.5,0.078883233
KT2440,1,70,5.5,0.051924822
KT2440,1,50,5.5,0.063478427
KT2440,1,25,5.5,0.04807362
KT2440,1,20,5.5,0.049279249
KT2440,1,15,5.5,0.318075149
KT2440,1,10,5.5,1.245797321
KT2440,1,5,5.5,1.203434103
